98304	26
81920	68
98306	12
98307	108
32772	21
98309	83
98310	136
81921	366
98312	13
98313	166
98314	25
98315	70
98317	138
32782	214
98319	44
98320	29
32785	289
98322	310
98324	271
98325	212
32790	197
32791	2
98328	107
98329	44
32794	11
32796	710
32797	91
9821	531
98335	82
98336	43
76464	1
98338	42
32803	60
98340	333
81642	20
98343	198
98345	33
98347	46
32812	245
98349	11
32814	6
32815	401
32816	437
32817	178
29024	62
32819	2018
98356	101
53	107
98358	13
55	1610
98360	75
32825	22
98362	10
98363	7
32828	189
32778	308
32831	182
98368	270
32833	371
66	202
16369	64
32836	42
98373	191
32838	86
32839	205
32840	6
32841	1609
98378	137
98379	285
98380	187
98381	272
98383	316
98384	325
98386	535
32851	308
31948	342
98390	67
32855	1135
98392	72
98393	162
98394	171
32859	13
21861	344
32864	241
32784	962
98402	231
98404	2
98321	126
104	53
32874	32
98412	299
32786	131
98414	181
28373	65
78565	49
106359	11
98422	4
32887	197
97547	230
81940	3532
10943	4
80193	20
32894	8
32895	336
32896	6
32898	7
98326	34
32902	400
76481	27
32905	19
32907	455
32909	40
142	117
28374	65
145	220
32914	182
147	31
32916	4
149	1
81945	120
156	4
159	348
102130	4
163	104
32932	111
165	83
166	198
98471	82
32936	319
169	760
170	388
171	39
32942	285
81949	24
32944	215
61109	9
32946	965
21875	32
181	149
32950	209
32951	1246
32953	144
186	204
187	66
188	105
81747	8
191	88
192	1095
193	85
196	9
54646	978
198	32
16417	36
32968	175
32971	6
32973	302
61110	33
32976	7
32978	83
16419	1216
212	187
32981	591
214	1730
32985	70
32986	14
219	520
32989	34
222	145
94929	2
224	2458
225	28
227	864
32996	327
16422	173
32999	190
33000	690
33002	173
32807	7
33004	40
109266	9
238	140
241	22
33011	130
8737	137
32809	232
91663	374
250	33
252	66
98557	59
98558	1
33023	105
33024	495
98562	140
259	5
260	4
261	878
98566	136
98567	74
98568	58
98569	345
98570	150
267	271
98572	94
269	1
270	195
16429	80
272	560
98577	59
92755	2
5507	108
98580	45
98350	4
98583	51
98584	9
98585	34
98587	38
98588	84
109274	45
98590	63
98591	48
33056	195
83800	6
43739	7
33061	24
19064	11
98599	23
98600	1
98601	90
98603	117
98604	26
98605	172
10973	184
33072	255
33835	5
98355	49
33077	189
33078	469
33079	109
33080	238
313	21
33082	264
315	1763
98203	130
33086	79
33087	180
29471	102
79663	6
33097	63
33098	42
32823	7736
332	574
333	29
334	526
76117	164
32824	253
33106	215
109283	5
343	40
344	11
346	303
347	649
348	907
349	15
15276	14
352	49
38288	5
33122	69
33123	657
356	535
33127	299
360	56
98665	23
362	122
33131	28
33345	31
366	220
16445	4
372	168
